"id","code","name"
l10n_pe_table_11_0001,"019","TUMBES"
l10n_pe_table_11_0002,"028","TALARA"
l10n_pe_table_11_0003,"046","PAITA"
l10n_pe_table_11_0004,"055","CHICLAYO"
l10n_pe_table_11_0005,"082","SALAVERRY"
l10n_pe_table_11_0006,"091","CHIMBOTE"
l10n_pe_table_11_0007,"118","MARÍTIMA DEL CALLAO"
l10n_pe_table_11_0008,"127","PISCO"
l10n_pe_table_11_0009,"145","MOLLENDO MATARANI"
l10n_pe_table_11_0010,"154","AREQUIPA"
l10n_pe_table_11_0011,"163","ILO"
l10n_pe_table_11_0012,"172","TACNA"
l10n_pe_table_11_0013,"181","PUNO"
l10n_pe_table_11_0014,"190","CUZCO"
l10n_pe_table_11_0015,"217","PUCALLPA"
l10n_pe_table_11_0016,"226","IQUITOS"
l10n_pe_table_11_0017,"235","AÉREA DEL CALLAO"
l10n_pe_table_11_0018,"244","POSTAL DE LIMA"
l10n_pe_table_11_0019,"262","DESAGUADERO"
l10n_pe_table_11_0020,"271","TARAPOTO"
l10n_pe_table_11_0021,"280","PUERTO MALDONADO"
l10n_pe_table_11_0022,"299","LA TINA"
l10n_pe_table_11_0023,"884","DEPENDENCIA FERROVIARIA TACNA"
l10n_pe_table_11_0024,"893","DEPENDENCIA POSTAL TACNA"
l10n_pe_table_11_0025,"910","DEPENDENCIA POSTAL AREQUIPA"
l10n_pe_table_11_0026,"929","COMPLEJO FRONTERIZO STA ROSA TACNA"
l10n_pe_table_11_0027,"938","TERMINAL TERRESTRE TACNA"
l10n_pe_table_11_0028,"947","AEROPUERTO TACNA"
l10n_pe_table_11_0029,"956","CETICOS TACNA"
l10n_pe_table_11_0030,"965","DEPENDENCIA POSTAL DE SALAVERRY"
